track_number,filename,dialogue,scene,emotion,context
001,track001.mp3,"You've been practicing. That spin almost looked graceful.",Scene 1 - Opening,Playful/Flirtatious,"Speaking to Best Friend while dancing"
002,track002.mp3,"It was just harmless dancing, relax. I was just feeling fly and wanted to have some fun.",Scene 2 - Confrontation,Defensive/Casual,"Defending his dancing behavior"
003,track003.mp3,"Honey, you're overreacting.",Scene 2 - Confrontation,Dismissive/Patronizing,"Dismissing wife's concerns"
004,track004.mp3,"Well, maybe if you were willing to dance with me more",Scene 2 - Confrontation,Accusatory/Deflecting,"Making excuses"
005,track005.mp3,"GO TO BED!",Scene 2 - Confrontation,Angry/Frustrated,"Yelling at child (with Wife)"
006,track006.mp3,"Wow, I've never heard that one before! Divorce over a little spin? Is this your new punchline to guilt-trap me?!! You want to leave me? Fine. But you're not taking my child. That's my legacy. That's mine.",Scene 2 - Confrontation,Sarcastic then Aggressive,"Responding to divorce threat"
007,track007.mp3,"They're calling it cheating now. One dance, one laugh, one misunderstanding, and suddenly I'm the villain.",Scene 3 - Attorney,Indignant/Self-pitying,"Explaining situation to attorney"
008,track008.mp3,"Watch it.",Scene 3 - Attorney,Sharp/Threatening,"Warning attorney about tone"
009,track009.mp3,"She humiliated me. Accused me in front of everyone like I'm some fool.",Scene 3 - Attorney,Angry/Wounded,"Expressing anger"
010,track010.mp3,"What?",Scene 3 - Attorney,Confused/Caught,"Responding to Child's question"
011,track011.mp3,"Enough. I just want her to regret it.",Scene 3 - Attorney,Cold/Vengeful,"Stating intention"
012,track012.mp3,"I can't believe we're dividing our entire life over text.",Scene 4 - Text Fight,Weary/Exasperated,"Sighing about situation"
013,track013.mp3,"Visual superiority?",Scene 4 - Text Fight,Confused/Annoyed,"Confused by wife's message"
014,track014.mp3,"Did I just lose custody of the Wi-Fi?",Scene 4 - Text Fight,Baffled/Defeated,"Realizing he lost argument"
015,track015.mp3,"It's just stuff, kid. It's how the game works. Your mother's being petty, and that Judge has a thing for smoothies. It doesn't mean anything.",Scene 4.2 - Private,Dismissive/Irritated,"Dismissing Child's observations"
016,track016.mp3,"I'm not going to argue with you about kitchen appliances. Go put that phone down.",Scene 4.2 - Private,Frustrated/Authoritative,"Refusing to engage"
017,track017.mp3,"What? Give me that.",Scene 4.2 - Private,Urgent/Panicked,"Demanding phone back"
018,track018.mp3,"Stop! That's private. You do not look at other people's. Give me that phone!",Scene 4.2 - Private,Panicked/Desperate,"Panicking as child reads messages"
019,track019.mp3,"You don't understand adult relationships. This is all just a big misunderstanding, a rough patch. Your mother isn't innocent either.",Scene 4.2 - Private,Defensive/Rationalizing,"Trying to justify himself"
020,track020.mp3,"You listen to me! I am your father! You don't take sides in this! This is a mess she started with her accusations! Do you think I'm the only one who's been looking elsewhere? Do you think she's a saint?",Scene 4.2 - Private,Shouting/Angry,"Shouting defensively"
021,track021.mp3,"Where did you find that?",Scene 4.2 - Private,Quiet/Defeated/Guilty,"Defeated and caught"
022,track022.mp3,"Wait, I didn't actually",Scene 5 - Court V1,Defensive/Protesting,"Denying accusation"
023,track023.mp3,"Why do YOU have HIS phone?",Scene 5 - Court V1,Angry/Confused,"Raging at revelation"
024,track024.mp3,"IT LOOKS LIKE YOU WERE SLEEPING WITH THE JUDGE!",Scene 5 - Court V1,Yelling/Explosive,"Explosive realization"
025,track025.mp3,"I cannot BELIEVE this! You accused ME, OVER A DANCE, While you were with the JUDGE?!",Scene 5 - Court V1,Breaking/Furious/Betrayed,"Breaking down in anger"
026,track026.mp3,"So what now?",Scene 5 - Court V1,Broken/Resigned,"After judgment"
027,track027.mp3,"Maybe stop talking.",Scene 5 - Court V2,Tired/Frustrated,"To Best Friend"
028,track028.mp3,"This is ridiculous! Over texts? Over a dance?! This is bias! This is corruption! This is!",Scene 5 - Court V2,Explosive/Indignant,"Exploding at verdict"
